plastic_bottles_recycled,aluminum_cans_recycled,paper_recycled_kg,cardboard_recycled_kg,glass_bottles_recycled,reusable_bags_used,reusable_water_bottle_uses,miles_biked,miles_walked,miles_public_transit,miles_carpooled,vegetarian_meals,vegan_meals,local_food_kg,led_bulb_hours,cold_water_laundry_loads,line_dried_loads,composting_kg,co2_saved_kg
0,4,2.85,0.12,1,0,2,8.4,4.19,16.06,14.41,2,1,1.21,3.69,0,0,0.83,25.19
3,1,2.22,0.19,2,3,4,5.08,0.42,12.14,13.21,3,1,1.98,5.07,0,2,2.66,28.93
7,2,2.21,0.57,2,0,2,2.41,1.08,13.82,9.05,0,2,2.54,1.5,2,0,2.93,21.45
0,0,2.56,1.88,2,2,1,0.85,1.05,4.59,7.04,1,1,0.22,10.52,2,0,2.28,17.03
7,3,0.84,1.6,1,4,5,0.25,4.13,7.31,5.31,0,0,0.51,21.56,1,1,2.59,14.07
6,1,2.49,1.41,1,4,5,9.37,1.52,6.23,0.05,3,1,2.63,10.6,2,2,1.19,29.75
6,1,0.85,0.73,1,4,0,6.89,3.34,15.54,12.93,2,2,1.61,20.16,0,0,2.82,27.75
1,2,1.57,0.94,0,3,3,8.24,3.29,2.34,12.0,3,2,2.1,9.99,1,0,2.67,28.31
0,4,1.53,1.47,3,1,5,7.74,1.15,11.05,5.58,3,2,0.42,13.7,0,1,2.56,30.45
2,4,1.22,1.81,3,4,5,11.64,2.86,2.86,5.62,2,1,1.1,2.09,0,2,2.54,26.83
6,4,0.53,1.35,0,4,1,6.26,2.94,15.03,9.35,1,1,0.16,9.04,0,1,0.8,21.57
0,4,0.28,0.97,1,2,4,11.34,3.05,18.49,11.79,0,2,0.02,18.54,0,2,1.46,28.43
1,0,2.11,1.87,1,4,5,9.93,0.85,0.61,3.07,2,0,1.53,14.76,0,1,2.32,18.75
4,3,0.84,1.71,0,0,3,0.3,2.25,4.75,0.74,0,0,0.33,14.6,2,1,2.09,11.39
2,1,1.18,1.5,2,0,0,2.84,3.39,11.32,13.94,1,1,0.2,0.46,2,1,0.26,21.43
0,2,1.26,0.59,0,2,1,8.01,4.67,5.31,9.17,2,1,0.89,14.87,0,2,1.52,25.23
5,1,2.74,0.68,0,3,1,8.59,3.53,12.45,14.85,1,2,0.43,7.52,0,1,1.03,27.71
7,0,2.81,0.37,3,1,3,2.38,0.82,4.8,10.65,2,2,2.9,10.72,1,2,0.74,27.78
5,1,2.71,1.3,3,1,2,10.85,4.09,15.14,0.83,2,2,0.64,15.92,1,2,1.21,33.77
6,1,2.69,1.82,2,0,5,2.29,0.92,6.84,6.45,0,1,0.52,11.66,1,0,1.48,15.31
1,3,2.2,1.26,3,0,1,6.56,4.51,6.88,11.0,3,2,2.79,19.7,1,2,2.1,35.1
7,1,1.68,1.89,3,2,4,9.36,0.49,1.51,5.42,2,0,1.76,5.43,2,1,2.22,20.88
3,2,1.98,1.06,3,1,4,6.82,1.48,18.77,12.28,1,1,0.78,23.27,0,2,0.43,26.72
6,3,0.08,1.05,1,4,0,3.03,2.89,7.18,12.35,0,1,1.43,8.42,1,2,0.16,18.71
5,1,0.47,1.67,3,4,5,6.79,0.91,2.79,8.65,0,2,2.34,6.62,2,1,2.04,21.82
1,0,1.26,1.2,2,4,1,4.89,0.81,13.13,14.57,0,0,2.14,1.64,2,2,1.84,19.17
2,3,2.08,1.3,3,3,2,4.84,4.17,16.29,9.18,0,2,0.77,2.54,0,1,2.03,24.57
5,4,0.21,0.79,3,2,3,10.89,0.78,4.4,7.77,1,2,0.29,7.62,2,2,0.79,26.85
6,4,2.51,0.1,3,2,1,3.8,1.43,1.83,4.72,1,0,2.34,9.56,1,2,2.68,17.93
6,4,0.02,1.89,0,3,3,9.22,2.5,8.68,3.74,1,0,0.93,13.75,2,2,0.82,20.87
2,2,2.94,1.93,3,0,0,2.53,4.29,16.41,6.61,0,1,2.35,6.38,2,1,0.08,21.79
3,3,1.98,1.38,0,2,0,2.38,0.33,17.74,6.3,3,2,1.25,3.85,0,2,2.27,31.23
5,1,0.25,0.79,2,0,0,7.94,3.01,3.26,3.51,2,0,2.5,23.39,2,0,0.69,16.45
7,1,2.78,0.84,1,2,2,5.04,0.05,17.16,10.97,3,1,2.34,7.53,2,1,1.77,29.79
4,3,2.92,1.09,2,2,2,6.79,3.76,2.64,7.7,2,0,2.5,19.34,0,0,0.68,18.12
4,4,0.27,0.39,1,4,3,3.45,1.4,6.64,9.94,3,0,1.33,8.03,2,1,1.66,20.88
4,1,0.63,0.59,2,3,4,1.79,1.34,7.22,6.13,3,1,0.17,0.83,0,2,2.09,23.36
4,2,1.92,0.52,1,3,3,3.74,0.61,2.22,9.72,3,2,2.37,3.39,1,1,0.14,26.05
6,2,1.08,1.34,0,3,1,0.36,2.22,10.09,1.76,1,1,1.06,18.28,0,0,1.91,14.99
6,4,2.3,0.87,1,1,1,3.96,2.82,17.01,3.02,0,2,2.07,19.76,2,0,2.34,23.17
1,1,0.76,0.94,2,3,0,7.83,3.9,15.83,9.04,3,2,0.38,23.5,2,2,2.54,36.08
3,2,2.03,1.19,1,0,1,6.9,2.15,5.52,11.53,0,1,2.08,5.6,0,0,1.96,16.18
6,4,1.95,0.42,0,3,1,0.54,3.67,6.83,7.18,1,0,1.4,0.33,0,1,2.53,14.74
6,3,2.33,1.35,3,2,1,7.97,4.83,1.01,13.36,3,0,0.07,8.71,1,1,2.52,25.35
7,1,2.75,0.81,3,3,4,3.52,2.63,13.96,13.5,0,0,2.51,14.75,1,2,0.76,20.63
4,2,0.25,1.85,0,2,5,5.31,0.21,13.69,13.54,2,1,0.38,3.03,2,0,2.49,23.07
6,3,1.95,0.21,3,2,5,1.42,0.0,14.24,5.35,2,1,0.04,12.97,0,2,2.47,24.09
4,0,1.66,1.62,2,1,4,11.87,1.13,7.8,7.2,3,2,0.24,19.91,1,2,1.6,34.26
1,2,2.67,0.93,2,1,4,3.67,2.01,13.45,10.23,0,2,1.09,17.72,0,2,0.36,24.85
3,4,0.77,1.61,2,2,5,1.11,3.9,13.47,11.51,3,2,1.85,20.4,2,1,1.57,32.14
2,1,0.89,0.56,0,3,2,9.99,4.88,9.48,1.0,2,1,0.89,22.38,1,2,0.82,26.17
5,3,0.92,1.23,0,2,2,1.63,4.47,1.49,13.62,3,0,2.1,18.49,2,2,2.73,25.11
5,4,0.95,0.11,0,4,5,3.64,4.83,12.56,13.96,2,1,0.92,8.88,0,2,2.37,27.01
1,3,1.74,0.69,0,4,2,0.92,0.83,1.22,7.49,2,1,1.06,9.62,2,1,2.65,20.13
2,1,1.84,1.23,1,3,1,0.74,4.07,18.81,9.73,1,0,0.45,11.46,2,0,0.33,17.11
2,3,0.89,0.33,3,1,3,8.81,1.04,1.17,8.29,1,1,2.62,13.85,0,2,0.89,20.69
3,2,2.04,1.19,0,1,3,3.56,0.72,3.03,6.49,3,0,0.24,22.55,1,2,1.51,22.28
5,2,2.37,1.83,3,1,1,3.32,4.7,2.49,13.13,2,1,0.53,17.33,1,2,1.55,27.12
6,4,0.03,1.79,1,4,3,11.41,0.11,19.65,1.29,2,0,0.84,3.17,2,1,1.93,23.47
4,3,0.16,1.2,2,1,3,9.03,4.53,16.71,2.95,2,2,1.76,8.47,0,1,0.65,28.26
6,1,2.35,1.2,2,2,5,1.98,2.08,0.29,7.18,1,0,2.46,19.8,0,1,0.85,14.29
2,1,1.63,0.75,2,4,2,1.96,0.92,4.05,5.8,1,2,2.56,22.86,2,2,0.58,24.13
6,3,0.02,0.05,3,4,2,10.54,2.79,19.2,0.73,2,2,0.13,4.45,0,0,1.35,25.25
1,2,1.77,0.91,0,0,1,2.04,0.63,2.47,7.78,0,0,0.18,16.58,0,2,0.14,11.55
5,4,0.27,0.57,2,3,0,0.66,1.66,15.32,6.21,3,0,0.07,23.72,2,1,1.8,21.89
7,4,0.71,0.19,1,1,1,8.13,2.73,9.5,13.84,2,0,0.84,8.4,2,2,2.98,25.46
4,1,2.62,1.66,3,0,0,4.92,4.89,3.62,11.99,1,2,0.82,17.56,0,2,1.57,27.81
3,4,0.54,1.91,2,1,2,5.52,3.38,12.37,8.53,1,2,1.19,3.19,2,2,1.72,29.04
1,4,2.97,0.42,2,2,2,8.41,2.95,18.77,5.25,2,0,1.97,4.77,2,0,0.67,22.56
7,2,2.48,0.51,2,1,3,8.39,1.65,14.89,6.19,0,1,1.54,3.13,0,2,0.95,22.33
5,4,0.18,1.39,1,0,1,0.08,2.48,5.71,11.02,0,2,1.75,22.6,2,0,1.41,18.16
7,2,1.88,1.1,0,4,2,10.76,0.98,0.45,12.92,2,1,2.67,14.33,2,2,1.29,28.07
7,2,0.77,0.65,0,1,3,9.49,1.92,8.72,8.91,0,1,0.2,19.96,2,2,2.17,23.04
1,0,0.64,0.57,3,4,0,7.26,1.94,17.27,4.63,1,0,0.06,3.69,0,2,1.99,19.11
6,1,2.66,1.63,3,1,4,8.64,1.44,17.6,0.74,1,0,0.41,0.02,0,0,0.07,16.49
3,4,2.02,0.48,3,0,3,6.15,3.4,18.63,9.31,3,2,0.25,9.26,1,2,2.66,36.17
6,0,0.46,0.66,2,0,4,8.06,3.65,11.5,3.1,1,2,0.94,10.26,1,0,0.7,21.81
2,3,0.81,0.4,3,0,3,9.54,1.62,15.3,2.15,2,1,1.92,0.61,0,0,2.71,21.58
5,2,0.75,0.63,3,2,1,6.55,4.63,17.43,11.78,3,0,2.74,2.34,1,0,0.98,23.51
6,0,2.01,0.46,2,2,5,3.74,4.01,17.23,2.06,1,0,2.05,5.65,2,2,2.84,22.42
7,2,2.41,1.97,0,3,2,10.48,0.84,1.07,10.76,2,1,0.26,4.67,2,2,2.03,28.16
0,1,1.21,1.16,2,0,2,9.52,4.91,18.65,14.01,2,1,2.01,16.73,2,2,2.64,33.54
7,3,0.34,0.82,1,1,5,4.2,4.31,4.66,10.43,1,2,2.59,3.17,0,1,2.73,23.25
4,0,0.17,0.51,1,0,4,6.25,2.2,17.6,7.58,0,0,0.42,23.59,1,1,0.22,15.32
5,0,1.79,0.83,0,4,4,9.81,4.48,17.06,10.1,2,0,0.83,1.11,0,2,0.96,25.73
5,0,2.99,0.87,3,2,0,6.85,2.39,17.24,1.58,2,1,2.53,17.82,2,0,0.36,24.59
5,0,2.17,1.86,0,0,3,6.15,1.74,7.5,9.32,3,1,0.33,0.85,1,1,0.7,25.73
6,1,0.57,0.08,0,1,5,4.09,2.22,13.51,7.63,2,1,2.6,0.24,1,1,1.38,22.21
2,1,2.96,1.51,1,1,0,10.64,1.99,17.26,4.01,1,1,2.58,7.82,1,2,0.37,27.29
5,3,2.48,0.0,0,0,0,2.8,0.34,3.74,8.33,2,2,1.09,10.53,2,1,1.48,24.63
0,1,0.32,1.91,3,1,1,3.58,1.6,3.29,11.75,1,2,1.9,2.97,1,2,2.28,24.5
0,3,2.59,0.24,0,2,0,2.96,4.3,3.38,12.81,3,1,1.54,18.47,1,2,0.04,27.23
2,3,1.82,1.01,1,4,3,9.05,2.23,11.84,10.51,1,0,1.34,19.92,1,0,1.94,18.97
5,4,1.2,1.59,1,4,0,0.48,1.37,19.11,14.3,1,0,0.13,4.3,2,0,2.12,17.82
1,1,0.33,1.96,2,4,1,9.22,3.14,12.67,6.75,0,2,2.24,19.82,2,1,2.77,26.08
0,0,1.69,1.34,1,1,1,7.16,4.07,7.64,1.98,1,2,0.71,7.2,0,2,2.28,25.48
3,0,0.58,0.94,1,1,3,6.21,2.07,3.99,6.19,3,2,1.73,20.49,0,0,1.08,23.91
4,0,0.24,0.29,3,0,0,2.78,4.24,7.95,3.68,3,0,1.03,2.68,1,1,0.62,18.22
2,4,1.64,1.77,3,1,4,10.52,3.64,6.03,8.99,0,0,2.67,2.76,1,2,2.21,20.92
7,2,0.16,0.63,2,3,4,10.47,0.44,9.75,10.37,1,0,1.33,11.74,1,0,2.73,16.94
0,3,2.29,1.62,2,2,2,9.56,4.16,19.72,11.87,1,2,1.02,13.07,0,1,1.19,30.62
0,0,1.21,1.35,1,4,3,7.43,2.4,13.23,3.29,1,1,1.79,11.63,0,0,1.14,18.2
2,3,1.59,0.79,1,3,5,3.6,4.81,10.71,9.27,1,1,2.0,12.26,1,1,2.93,23.08
6,4,1.99,1.68,3,1,3,10.28,4.69,9.85,10.51,3,1,1.72,8.2,0,1,0.21,29.89
7,3,0.36,0.66,2,4,2,2.3,2.78,11.68,3.1,0,2,0.25,8.55,0,2,0.82,20.66
2,1,2.22,1.58,0,2,4,3.44,2.59,14.96,12.55,1,1,2.0,10.45,1,2,2.16,26.25
3,3,0.28,1.06,1,1,0,1.46,1.51,10.65,8.47,3,1,0.5,9.11,1,0,2.91,21.53
4,2,2.77,1.52,1,4,2,5.85,0.12,4.98,6.12,1,2,0.41,17.47,0,0,1.16,20.7
4,1,0.83,1.12,1,3,0,3.93,3.69,0.73,7.12,3,1,2.76,0.29,0,2,2.22,24.41
7,2,0.26,1.94,3,4,0,2.84,2.42,8.58,1.12,0,1,0.58,12.12,1,1,1.73,16.01
2,1,1.21,0.85,2,4,0,10.13,1.31,8.43,0.6,2,2,1.73,13.7,1,1,0.95,26.13
4,3,0.69,0.81,0,2,1,11.64,4.33,12.02,10.51,3,1,1.89,10.94,2,1,2.27,31.12
5,0,0.29,0.84,0,1,0,6.57,0.82,1.28,4.76,2,1,1.55,2.46,2,1,0.05,18.73
3,1,1.13,1.21,1,4,1,10.21,1.73,0.7,11.19,0,2,2.64,15.57,1,0,0.81,19.65
5,1,2.53,0.95,2,3,2,3.61,0.92,15.13,7.11,2,1,2.83,23.89,0,0,0.44,21.7
2,4,0.39,0.41,0,3,4,3.81,0.04,7.64,4.53,0,0,1.62,21.92,1,2,0.4,13.41
5,1,2.25,1.88,3,1,5,1.19,2.14,12.57,3.23,0,0,2.79,4.92,0,2,2.22,16.64
4,4,1.16,0.57,3,3,1,0.56,1.69,8.1,3.59,0,2,1.92,20.41,2,2,1.63,22.36
0,1,2.27,0.79,0,4,1,8.91,1.14,1.17,4.5,1,0,0.5,8.52,2,2,2.6,19.08
5,1,2.02,0.03,1,3,0,3.39,2.93,5.13,14.01,3,2,2.39,12.19,2,2,1.54,32.17
6,0,2.15,1.16,2,4,2,5.48,2.38,7.72,14.5,1,0,0.25,20.71,2,0,0.33,17.55
4,3,2.63,0.41,2,4,3,0.66,4.86,10.25,4.36,1,0,2.57,7.32,1,1,0.39,16.73
3,3,2.34,0.94,2,0,3,0.9,1.88,16.41,0.11,3,1,0.99,1.26,1,1,0.76,24.29
2,3,2.12,1.04,0,3,0,3.38,0.92,0.79,0.33,0,1,0.4,11.23,0,1,1.37,12.58
2,3,1.69,0.22,3,0,5,5.19,2.68,9.54,5.84,1,0,2.68,8.06,0,2,0.17,18.16
5,3,1.36,0.56,3,4,4,6.96,1.41,5.58,6.07,0,0,0.16,13.89,0,2,2.19,15.96
4,4,0.78,0.63,0,1,4,5.67,3.56,7.86,3.88,0,2,2.38,15.01,2,2,2.04,24.7
5,1,2.88,1.08,0,2,1,5.4,3.46,14.66,14.93,0,1,1.61,12.8,0,1,0.39,21.49
5,3,2.54,0.12,3,2,5,3.55,0.45,13.36,2.0,1,2,0.51,9.23,2,0,2.35,22.68
7,3,2.38,1.15,2,4,3,8.47,0.94,15.01,3.54,2,2,0.56,4.37,1,1,2.53,29.98
7,2,2.12,1.31,0,4,1,10.42,2.92,14.36,5.58,1,1,0.79,13.95,0,1,0.37,23.6
2,2,1.65,1.03,1,3,3,3.88,4.45,3.21,2.6,2,2,0.36,5.53,2,2,1.16,27.35
0,0,0.14,1.9,3,1,1,3.71,4.87,8.22,6.67,1,1,2.36,9.72,0,2,2.55,21.9
2,1,0.19,1.19,1,2,5,4.75,3.44,16.3,6.26,3,2,2.81,16.25,2,2,0.21,33.14
4,0,1.86,1.09,3,1,0,3.25,3.8,14.45,0.11,0,2,0.42,20.79,2,2,2.4,25.53
0,4,0.2,0.63,2,3,0,9.33,4.29,16.9,5.4,0,0,0.18,16.84,0,0,1.23,14.17
3,3,2.08,1.53,2,2,2,3.53,2.23,14.54,10.39,2,0,0.68,15.9,0,1,0.47,20.91
7,4,0.01,0.52,1,2,5,10.67,2.85,12.63,7.78,3,2,0.7,11.81,1,1,0.55,31.3
7,3,0.97,0.52,0,3,0,5.46,0.82,6.08,9.32,1,1,2.7,15.08,2,0,2.5,18.77
4,0,1.94,0.92,2,4,1,7.67,0.41,8.7,4.39,1,2,0.4,16.6,1,2,0.49,25.82
5,2,1.47,1.05,0,0,2,10.93,2.18,2.58,11.13,0,2,0.95,14.92,1,2,0.41,24.92
4,2,1.16,1.89,1,4,1,6.08,2.86,18.65,12.87,1,2,1.31,11.14,0,2,0.07,29.49
1,2,2.18,1.67,2,1,2,1.1,3.4,17.59,7.71,2,2,0.77,18.43,2,1,1.77,30.02
6,2,0.29,0.13,0,1,4,10.3,2.32,15.69,14.2,1,1,2.79,8.12,0,2,1.43,25.9
5,1,2.05,1.32,1,3,1,3.79,0.63,13.11,0.6,0,2,2.61,21.38,2,2,0.23,24.05
5,2,2.46,0.49,2,0,2,4.22,2.23,13.43,5.01,3,2,1.89,0.6,1,1,1.31,29.66
0,4,1.64,0.18,1,1,4,8.73,4.35,3.79,6.02,2,2,1.19,3.0,1,1,0.61,26.25
4,0,1.62,0.57,2,4,1,5.29,1.3,16.77,10.73,0,0,2.68,16.55,0,2,2.08,18.87
1,0,2.28,1.24,2,1,1,2.21,0.53,16.26,8.68,1,0,2.34,16.88,2,1,0.17,18.46
4,3,2.55,0.57,0,0,0,5.18,0.17,19.08,3.15,2,1,2.32,5.23,0,1,1.45,23.49
7,1,2.28,1.0,3,2,0,3.04,4.48,11.48,5.26,0,2,1.48,21.88,0,2,0.5,24.3
2,1,2.95,1.81,1,2,2,3.11,4.39,3.93,14.21,1,0,1.84,5.35,1,0,2.84,17.18
3,4,0.9,0.38,3,3,0,6.89,2.57,10.27,1.61,2,1,1.36,17.61,0,0,1.63,19.79
3,3,0.71,0.33,3,0,1,6.45,3.39,13.65,9.43,2,0,0.12,10.93,2,2,2.5,24.8
5,0,0.49,1.38,1,2,0,11.83,3.43,4.87,11.98,2,0,2.34,21.84,0,2,0.65,23.47
3,2,1.72,0.2,3,1,2,2.1,4.37,14.75,3.79,3,1,0.8,21.89,0,1,2.16,25.66
6,1,0.08,0.75,1,1,0,1.15,4.49,18.71,14.7,1,1,0.52,1.11,1,1,2.74,22.32
3,1,0.02,1.61,0,3,5,8.15,1.18,1.68,11.55,0,1,2.97,8.26,1,0,0.9,14.63
5,1,0.82,1.63,0,4,5,1.11,2.0,8.38,7.72,2,0,2.72,3.31,2,0,0.06,15.63
5,0,1.97,1.45,2,1,1,3.67,2.42,1.26,9.17,3,2,1.08,18.07,1,2,0.38,29.62
5,2,2.99,0.95,1,4,5,9.56,2.98,17.73,6.16,1,2,1.89,10.02,0,1,1.93,29.4
4,2,1.35,0.69,0,3,5,6.07,0.81,19.19,12.77,0,2,1.22,18.3,2,2,2.84,29.16
7,1,1.31,1.05,1,1,4,5.07,3.59,8.85,10.98,2,2,1.15,4.27,0,1,1.88,26.96
4,0,1.25,0.52,0,3,0,6.49,0.26,14.02,0.84,1,0,2.99,11.52,0,0,1.7,12.95
0,1,1.35,1.44,2,0,3,2.31,2.32,4.92,13.72,1,1,2.86,12.79,2,1,1.63,21.05
6,1,2.79,0.92,1,4,2,0.61,2.34,17.06,14.0,1,1,0.38,9.17,1,2,2.0,25.77
7,0,2.14,0.86,0,3,3,7.78,1.23,14.35,11.65,2,2,1.24,2.41,0,1,0.07,27.96
7,2,1.6,1.99,1,4,2,7.62,0.21,4.14,13.88,3,1,0.31,16.86,2,1,0.81,27.77
1,2,1.22,1.96,1,0,0,1.46,3.17,17.98,9.36,0,0,0.35,20.26,2,1,1.56,17.41
3,3,0.24,1.34,2,1,3,2.59,4.07,4.34,8.13,2,1,0.44,22.58,0,2,1.7,23.12
1,0,0.82,0.8,2,3,3,0.54,0.72,0.28,8.5,2,1,2.0,19.74,0,0,2.71,15.57
3,4,0.22,1.37,1,0,1,5.82,0.75,12.97,2.59,0,2,1.84,3.77,2,2,1.56,23.63
4,1,1.88,0.51,2,2,3,11.75,2.51,9.1,11.3,3,1,2.01,19.56,0,0,0.0,25.99
0,3,0.39,1.44,3,1,4,11.53,4.51,13.94,1.45,0,1,0.96,18.32,1,0,1.16,19.19
3,1,0.13,0.58,2,1,1,5.44,4.27,11.63,1.18,0,0,1.42,8.68,1,1,1.59,13.26
5,2,2.39,0.68,1,0,1,7.05,4.67,14.52,13.77,1,2,1.81,12.67,0,1,0.72,28.08
4,2,0.92,0.34,0,0,2,6.53,2.76,7.13,6.71,1,2,1.13,6.2,0,1,1.37,21.92
3,0,0.62,1.42,0,2,3,9.31,1.69,11.27,3.07,1,2,0.16,20.46,1,1,2.62,25.18
5,1,1.29,0.38,0,1,0,6.23,1.17,2.47,1.86,2,1,2.2,7.72,1,1,0.81,19.01
1,0,1.98,1.98,3,1,5,0.62,0.57,0.08,14.99,2,0,2.36,12.23,2,2,0.45,20.49
6,2,1.13,1.51,1,2,1,3.76,3.1,12.77,10.49,1,2,2.55,12.79,1,2,2.22,28.72
2,4,2.27,0.19,1,1,2,11.92,0.87,13.45,2.6,2,1,1.52,16.32,0,0,2.24,23.25
6,2,2.0,0.99,3,3,1,8.76,4.44,1.23,6.75,0,2,1.7,15.59,1,0,1.38,20.78
0,0,2.51,1.02,1,2,3,2.05,0.99,6.38,8.9,0,2,0.33,9.35,1,0,0.05,16.62
5,2,0.27,0.51,3,4,5,9.39,4.69,13.84,2.34,0,1,2.53,5.02,2,2,2.68,24.16
2,1,0.27,1.9,3,2,1,3.79,3.94,13.64,13.33,0,2,2.79,2.52,1,1,1.56,23.66
6,1,0.45,1.6,2,3,5,4.55,0.24,3.53,14.34,1,1,1.06,12.08,1,0,1.66,17.4
6,1,2.92,0.32,3,2,2,4.69,3.33,4.31,3.32,2,1,1.5,9.96,0,0,2.39,19.74
3,3,1.67,1.78,2,2,1,4.8,2.75,12.39,9.95,2,1,0.65,2.89,1,1,0.47,24.55
0,1,2.53,1.0,1,2,2,3.64,3.19,7.0,13.93,1,0,1.65,14.18,2,0,1.87,17.25
0,3,1.62,1.61,3,2,0,8.56,1.04,11.38,13.02,1,0,0.26,7.27,2,2,2.89,23.95
6,4,2.98,1.4,2,3,5,1.0,3.62,6.23,11.74,3,2,1.46,18.67,1,1,1.51,31.21
3,1,1.58,1.62,0,0,5,8.05,1.35,5.55,14.0,0,0,1.73,15.55,1,1,1.85,16.79
0,4,1.64,0.72,1,1,0,11.41,2.04,9.33,0.79,0,0,2.15,12.91,2,0,0.73,14.12
6,0,0.57,0.92,1,3,2,7.74,3.25,16.49,6.27,3,2,0.82,23.52,0,1,2.13,31.23
2,3,0.03,0.3,2,1,5,11.62,2.7,9.16,14.18,2,2,0.19,11.18,0,1,1.41,28.35
4,1,1.75,0.71,2,0,3,10.99,3.08,3.85,9.1,1,2,1.58,17.23,0,2,2.84,28.4
1,2,0.32,0.35,2,0,2,2.96,2.3,12.57,8.36,0,2,0.84,13.56,1,0,2.18,18.29
0,0,2.97,0.56,1,2,3,10.28,3.42,17.65,3.05,3,0,1.98,12.55,1,1,1.54,26.76
0,3,0.14,0.7,3,0,0,3.73,4.43,15.5,11.03,2,1,2.97,11.17,2,1,0.79,25.27
5,0,0.47,1.9,3,0,5,7.09,3.61,18.83,13.22,3,0,2.32,13.49,0,2,0.34,28.38
2,4,1.59,0.54,3,2,3,0.39,2.98,10.78,14.53,3,0,0.19,13.24,1,1,2.99,23.4
0,0,2.16,0.46,3,1,0,3.18,3.43,18.98,4.02,3,1,2.56,8.56,1,2,2.84,29.98
6,1,1.35,1.59,0,1,3,6.21,0.59,10.56,1.9,2,2,1.45,14.94,2,2,0.58,28.88
7,1,1.48,1.67,3,0,0,7.25,1.49,8.22,3.27,3,0,0.39,8.92,0,2,0.67,23.05
0,4,0.6,0.16,1,2,0,1.02,4.04,15.43,13.73,2,2,2.05,1.26,0,1,2.4,26.36
6,4,0.7,1.69,1,0,2,8.85,3.14,9.43,14.4,2,0,2.72,17.51,2,2,1.1,26.95
4,4,1.66,1.8,3,4,1,0.9,1.25,13.39,13.32,2,1,1.82,4.52,0,0,2.9,22.09
3,0,0.26,1.12,2,1,1,5.3,1.67,10.44,8.78,3,2,2.28,17.11,2,0,0.16,26.68
4,3,2.87,0.48,1,4,0,4.84,3.38,3.8,12.28,0,0,1.97,8.19,1,2,1.65,18.04
0,3,1.91,1.95,1,3,4,4.45,2.84,17.63,14.13,2,1,0.26,16.06,1,0,1.41,25.56
0,4,0.57,1.58,3,2,2,10.25,3.74,5.45,1.76,3,0,2.71,10.71,0,0,2.83,20.5
7,2,1.56,0.95,1,2,3,6.44,4.68,6.17,13.04,1,0,0.74,0.87,1,1,2.19,19.31
7,0,1.11,1.0,2,4,5,5.82,2.7,16.37,2.58,3,1,2.08,13.34,2,2,1.24,30.44
3,0,2.79,1.9,3,0,4,1.02,2.25,15.13,11.91,2,1,2.68,6.42,2,0,2.7,25.09
1,0,2.58,0.18,1,1,3,4.9,2.14,11.71,7.82,2,1,0.2,17.51,0,1,1.08,22.63
2,1,1.16,1.59,0,3,3,8.93,0.76,2.61,5.18,1,0,0.12,19.94,2,0,1.82,14.78
4,1,0.13,0.52,0,0,2,10.37,1.55,13.88,0.24,2,1,1.06,13.04,1,2,2.41,25.66
3,1,2.41,1.12,3,1,2,4.31,3.05,7.65,4.57,3,2,0.01,5.45,1,1,2.55,29.21
0,0,0.8,0.49,3,4,3,5.98,2.19,4.37,1.96,2,0,0.46,16.93,2,2,1.41,19.78
7,0,2.66,1.78,1,4,4,7.15,0.45,6.75,1.35,0,1,2.42,11.03,1,2,2.8,21.44
7,3,1.99,1.42,0,1,4,2.86,4.69,3.42,1.7,3,2,2.59,11.45,0,1,2.04,27.47
3,2,1.22,0.57,1,0,3,5.4,4.18,11.45,14.99,3,0,0.84,3.83,1,0,0.86,21.61
0,4,1.68,1.04,0,1,3,1.35,4.35,12.72,2.47,3,2,0.86,17.68,0,2,2.97,30.89
1,1,1.28,1.1,2,3,3,8.75,4.37,18.77,12.08,3,0,1.65,19.82,1,0,0.32,25.34
4,0,0.76,2.0,0,2,0,6.32,0.29,2.21,3.29,2,0,1.3,19.19,2,0,1.28,15.11
4,4,0.95,1.55,1,0,2,9.55,2.39,2.62,3.53,1,1,2.58,17.03,2,1,2.8,22.41
1,1,2.43,0.39,1,3,0,4.86,4.66,1.78,7.67,3,1,2.71,3.76,2,1,1.86,25.69
4,2,2.9,1.83,0,1,1,8.94,2.57,6.62,12.56,2,0,1.8,1.72,1,2,2.79,26.1
0,2,2.34,0.04,2,4,2,8.83,4.96,12.58,5.55,3,1,2.62,19.55,1,0,0.6,26.71
6,4,0.94,0.61,0,3,4,6.04,0.41,12.4,5.1,3,2,1.3,4.63,1,1,0.8,28.34
0,0,0.62,0.64,2,1,2,11.24,0.53,16.84,7.24,2,0,1.53,11.45,2,1,1.48,22.83
5,1,0.35,1.6,1,0,4,2.39,0.19,12.87,3.94,2,1,0.69,19.25,2,0,1.45,19.75
4,3,2.93,0.4,2,4,5,2.07,1.9,18.22,9.23,2,1,2.8,1.16,0,2,0.12,26.58
0,3,1.95,1.4,3,1,5,7.85,2.56,3.18,0.8,0,0,0.15,13.66,1,1,2.27,14.44
4,1,1.78,1.08,3,3,0,9.16,0.68,4.57,13.24,3,1,0.73,21.8,2,0,2.46,26.57
7,2,2.03,1.41,2,0,2,3.83,4.84,18.66,13.06,3,1,2.07,21.67,0,1,1.24,30.58
6,3,0.23,1.15,1,0,5,3.51,0.84,7.58,5.3,3,0,2.02,12.21,0,0,2.5,17.14
